kew_id,taxon_name,sporophytic_chromosome_number,infraspecific_variation_chrom_number,other_reported_sporophytic_chromosome_number,source_of_other_chrom_num
733289-1,Rosa micrantha Borrer ex Sm.,35| 42,v,"35, 42","Šmarda et al. 2019, Zonneveld, 2019"
733370-1,Rosa mollis Sm.,28| 56,v,NA,NA
927374-1,Rosa multiflora Thunb.,NA,NA,14,C-ValueDB
734069-1,Rosa rubiginosa L.,35,n,35,"Šmarda et al. 2019, Zonneveld, 2019"
927373-1,Rosa rugosa Thunb.,14,n,"14, 28","Zonneveld, 2019"
734247-1,Rosa setigera Michx.,NA,NA,NA,NA
734252-1,Rosa sherardii Davies,28| 35| 42,v,"28, 35, 42","Šmarda et al. 2019, Zonneveld, 2019"
324822-2,Rosa spinosissima L.,28,s,28,"Šmarda et al. 2019, Zonneveld, 2019"
60473660-2,Rosa squarrosa (A.Rau) Boreau,NA,NA,NA,NA
734357-1,Rosa stylosa Desv.,34-37| 42,v,NA,NA
734517-1,Rosa tomentella Léman,35,n,NA,NA
734524-1,Rosa tomentosa Sm.,35,n,35,"Zonneveld, 2019"
734665-1,Rosa villosa L.,NA,NA,"28,56","Zonneveld, 2019"
734684-1,Rosa virginiana Mill. (non Herrm.),NA,NA,28,"C-ValueDB, Zonneveld, 2019"
60473701-2,Rosa vosagiaca (N.H.F. Desp.) Déségl.,35-37,v,NA,NA
455509-1,Rosmarinus officinalis L.,NA,NA,24,"Zonneveld, 2019"
419582-1,Rostraria cristata (L.) Tzvelev,NA,NA,26,"Zonneveld, 2019"
765320-1,Rubia peregrina L.,NA,NA,NA,NA
765369-1,Rubia tinctorum L.,NA,NA,"22,44","Zonneveld, 2019"
298725-2,Rubus allegheniensis Porter,NA,NA,NA,NA
30013297-2,Rubus arcticus L.,NA,NA,NA,NA
735202-1,Rubus armeniacus Focke,28| 49,v,NA,NA
735259-1,Rubus atrebatum A.Newton,NA,NA,NA,NA
735470-1,Rubus boraeanus Genev.,28,n,NA,NA
735608-1,Rubus caesius L.,28| 35,v,"28, 35","Šmarda et al. 2019, Zonneveld, 2019"
735641-1,Rubus calvatus Lees ex A.Bloxam,28,n,NA,NA
30010653-2,Rubus canadensis L.,NA,NA,14,C-ValueDB
735694-1,Rubus cardiophyllus Lefèvre & P.J. Müll.,28,n,NA,NA
735780-1,Rubus chamaemorus L.,56,n,56,"C-ValueDB, Šmarda et al. 2019"
735898-1,Rubus cockburnianus Hemsl.,NA,NA,NA,NA
736199-1,Rubus dasyphyllus (W.M.Rogers) E.S.Marshall,NA,NA,NA,NA
736497-1,Rubus elegantispinosus (Schumach.) H.E. Weber,NA,NA,NA,NA
736795-1,Rubus fissus Lindl.,28,n,NA,NA
736933-1,Rubus fruticosus L.,NA,NA,NA,NA
736957-1,Rubus fuscicaulis Edees,NA,NA,NA,NA
737486-1,Rubus hylonomus Lefèvre & P.J. Müll.,NA,NA,NA,NA
298089-2,Rubus idaeus L.,14| 21| 28,v,"14, 14-42","Šmarda et al. 2019, Zonneveld, 2019"
737860-1,Rubus laciniatus Willd.,28,n,NA,NA
738062-1,Rubus leyanus W.M.Rogers,28,n,NA,NA
738080-1,Rubus lindleianus Lees,28,n,NA,NA
738513-1,Rubus mucronulatus Boreau,NA,NA,28,"Zonneveld, 2019"
738594-1,Rubus nemoralis P.J. Müll,28,n,28,"Zonneveld, 2019"
738619-1,Rubus nessensis Hall,NA,NA,28,"Šmarda et al. 2019, Zonneveld, 2019"
738662-1,Rubus nobilissimus (W.C.R.Watson) Pearsall,NA,NA,NA,NA
223359-2,Rubus odoratus L.,NA,NA,14,"C-ValueDB, Zonneveld, 2019"
298093-2,Rubus parviflorus Nutt.,NA,NA,NA,NA
895791-1,Rubus phoenicolasius Maxim.,NA,NA,14,"Zonneveld, 2019"
739210-1,Rubus plicatus Weihe & Nees,28,n,28,"Šmarda et al. 2019, Zonneveld, 2019"
739244-1,Rubus polyanthemus Lindeb.,28,n,NA,NA
739634-1,Rubus radula Weihe ex Boenn.,28,n,NA,NA
739981-1,Rubus saxatilis L.,28,n,28,"Šmarda et al. 2019, Zonneveld, 2019"
740058-1,Rubus scissus W.C.R.Watson,28,n,28,"Zonneveld, 2019"
223579-2,Rubus spectabilis Pursh,NA,NA,14,"C-ValueDB, Zonneveld, 2019"
740482-1,Rubus sprengelii Weihe,28,n,28,"Zonneveld, 2019"
740920-1,Rubus tricolor Focke,NA,NA,NA,NA
740961-1,Rubus tuberculatus Bab.,35,n,NA,NA
740982-1,Rubus ulmifolius Schott,14| 28,v,NA,NA
741131-1,Rubus vestitus Weihe,NA,NA,28,"Zonneveld, 2019"
741251-1,Rubus wedgwoodiae W.C.Barton & Ridd.,NA,NA,NA,NA
223740-2,Rudbeckia hirta L.,NA,NA,NA,NA
241716-1,Rudbeckia laciniata L.,NA,NA,NA,NA
332105-2,Rumex acetosa L.,15,n,"14, 15","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
224391-2,Rumex acetosella L.,28| 42,v,"28, 42","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
326377-2,Rumex alpinus L.,NA,NA,20,Šmarda et al. 2019
301511-2,Rumex aquaticus L.,NA,NA,140,Šmarda et al. 2019
697000-1,Rumex confertus Willd.,NA,NA,NA,NA
697003-1,Rumex conglomeratus Murray,NA,NA,"18, 20, 40","Šmarda et al. 2019, Zonneveld, 2019"
224413-2,Rumex crispus L.,60,n,"40, 60","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
697020-1,Rumex cristatus DC.,NA,NA,NA,NA
697025-1,Rumex cuneifolius Campd.,NA,NA,NA,NA
697039-1,Rumex dentatus L.,NA,NA,NA,NA
697202-1,Rumex hydrolapathum Huds.,130,n,200,Šmarda et al. 2019
697266-1,Rumex longifolius DC.,60,n,60,"Zonneveld, 2019"
300184-2,Rumex maritimus L.,40,n,40,"Šmarda et al. 2019, Zonneveld, 2019"
697349-1,Rumex obovatus Danser,NA,NA,NA,NA
310739-2,Rumex obtusifolius L.,40,n,40,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
697375-1,Rumex palustris Sm.,60,n,"40, 60","Zonneveld, 2019"
697388-1,Rumex patientia L.,NA,NA,"40,60, 80","Šmarda et al. 2019, Zonneveld, 2019"
697431-1,Rumex pulcher L.,NA,NA,NA,NA
697469-1,Rumex rupestris Le Gall,NA,NA,NA,NA
30024727-2,Rumex salicifolius T.Lestib.,NA,NA,20,"Zonneveld, 2019"
310740-2,Rumex sanguineus L.,20,n,20,"Šmarda et al. 2019, Zonneveld, 2019"
304830-2,Rumex scutatus L.,NA,NA,20,"Zonneveld, 2019"
224565-2,Ruppia maritima L.,20,n,20,"Zonneveld, 2019"
30417880-2,Ruppia spiralis L. ex Dumort.,NA,NA,NA,NA
364235-1,Ruschia caroli (L.Bolus) Schwantes,18,n,NA,NA
540443-1,Ruscus aculeatus L.,40,p,40,"Zonneveld, 2019"
540452-1,Ruscus hypoglossum L.,NA,NA,40,C-ValueDB
775099-1,Ruta graveolens L.,NA,NA,"78, 72-80","C-ValueDB, Zonneveld, 2019"
77137578-1,Sabulina rubella (Wahlenb.) Dillenb. & Kadereit,24,n,NA,NA
1093969-2,Sabulina stricta (Sw.) Rchb.,22| 30,v,NA,NA
156395-1,Sabulina tenuifolia (L.) Rchb.,46,n,NA,NA
156398-1,Sabulina verna (L.) Rchb.,24,n,NA,NA
156411-1,Sagina apetala Ard.,12,n,12,"Šmarda et al. 2019, Zonneveld, 2019"
156448-1,Sagina filicaulis Jord.,NA,NA,NA,NA
156478-1,Sagina maritima Don,28,n,NA,NA
156490-1,Sagina nivalis (Lindblom) Fr.,84| 88,v,NA,NA
156491-1,Sagina nodosa (L.) Fenzl,56,n,56,"Zonneveld, 2019"
302082-2,Sagina procumbens L.,22,n,22,"Šmarda et al. 2019, Zonneveld, 2019"
156521-1,Sagina saginoides (L.) H.Karst.,22,n,NA,NA
156528-1,Sagina subulata (Sw.) C.Presl,22,n,22,"Zonneveld, 2019"
225249-2,Sagittaria graminea Michx.,NA,NA,22,C-ValueDB
225280-2,Sagittaria latifolia Willd.,NA,NA,22,"Zonneveld, 2019"
58566-1,Sagittaria rigida Pursh,NA,NA,NA,NA
30074004-2,Sagittaria sagittifolia L.,NA,NA,"16, 20, 22","Šmarda et al. 2019, Zonneveld, 2019"
58585-1,Sagittaria subulata (L.) Buchenau,NA,NA,NA,NA
166511-1,Salicornia disarticulata Moss,18,p,NA,NA
166513-1,Salicornia dolichostachya Moss,36,p,NA,NA
166518-1,Salicornia emerici Duval-Jouve,36,n,NA,NA
166520-1,Salicornia europaea L.,18| 36,v,18,"C-ValueDB, Šmarda et al. 2019"
166528-1,Salicornia fragilis P.W.Ball & Tutin,36,n,NA,NA
166566-1,Salicornia obscura P.W.Ball & Tutin,18,n,NA,NA
166583-1,Salicornia procumbens Sm.,36,n,NA,NA
776951-1,Salix acutifolia Willd.,38,n,NA,NA
776974-1,Salix alba L.,76,n,76,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
777067-1,Salix arbuscula L.,NA,NA,NA,NA
777119-1,Salix aurita L.,38| 76,v,"38, 76","Šmarda et al. 2019, Zonneveld, 2019"
303599-2,Salix caprea L.,38,n,38,"C-ValueDB, Šmarda et al. 2019"
301107-2,Salix cinerea L.,76,n,76,"C-ValueDB, Šmarda et al. 2019"
777425-1,Salix daphnoides Vill.,38| 57,v,38,"Zonneveld, 2019"
777510-1,Salix elaeagnos Scop.,NA,NA,38,"C-ValueDB, Zonneveld, 2019"
225807-2,Salix eriocephala Michx.,NA,NA,38,"Zonneveld, 2019"
77102927-1,Salix euxina I.V.Belyaeva,NA,NA,76,Šmarda et al. 2019
302928-2,Salix herbacea L.,38,n,38,Šmarda et al. 2019
304306-2,Salix lanata L.,38,n,NA,NA
777998-1,Salix lapponum L.,38| 76,v,38,Šmarda et al. 2019
778243-1,Salix myrsinifolia Salisb.,114,n,114,"Šmarda et al. 2019, Zonneveld, 2019"
300580-2,Salix myrsinites L.,38| 190,v,NA,NA
312506-2,Salix pentandra L.,76,n,76,"Šmarda et al. 2019, Zonneveld, 2019"
300880-2,Salix phylicifolia L.,88,n,NA,NA
301321-2,Salix purpurea L.,38,n,38,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
305835-2,Salix repens L.,38,n,38,"Šmarda et al. 2019, Zonneveld, 2019"
304292-2,Salix reticulata L.,NA,NA,NA,NA
302929-2,Salix triandra L.,38| 44| 88,v,"38, 44, 88","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
779086-1,Salix udensis Trautv. & C.A.Mey.,NA,NA,NA,NA
779152-1,Salix viminalis L.,38,n,"38, 76","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
817748-1,Salpichroa origanifolia (Lam.) Thell,NA,NA,NA,NA
303401-2,Salsola kali L.,36,n,36,"Zonneveld, 2019"
307757-2,Salsola tragus L.,NA,NA,36,"Šmarda et al. 2019, Zonneveld, 2019"
456289-1,Salvia glutinosa L.,NA,NA,16,"C-ValueDB, Šmarda et al. 2019"
456833-1,Salvia officinalis L.,NA,NA,14,"C-ValueDB, Zonneveld, 2019"
457007-1,Salvia pratensis L.,NA,NA,"16, 18","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
457095-1,Salvia reflexa Hornem.,NA,NA,NA,NA
457210-1,Salvia sclarea L.,NA,NA,22,C-ValueDB
457495-1,Salvia verbenaca L.,54,n,NA,NA
457502-1,Salvia verticillata L.,NA,NA,"16, 32","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
457515-1,Salvia viridis L.,NA,NA,NA,NA
321978-2,Sambucus canadensis L.,NA,NA,36,"Zonneveld, 2019"
149315-1,Sambucus ebulus L.,36,n,36,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30122169-2,Sambucus nigra L.,36,n,36,"C-ValueDB, Šmarda et al. 2019"
30056767-2,Sambucus racemosa L.,NA,NA,36,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30021527-2,Samolus valerandi L.,26,n,26,"Šmarda et al. 2019, Zonneveld, 2019"
741345-1,Sanguisorba canadensis L.,NA,NA,NA,NA
741402-1,Sanguisorba officinalis L.,28| 56,v,56,Šmarda et al. 2019
847832-1,Sanicula europaea L.,16,n,16,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
241927-1,Santolina chamaecyparissus L.,NA,NA,NA,NA
156626-1,Saponaria ocymoides L.,NA,NA,28,"Zonneveld, 2019"
156627-1,Saponaria officinalis L.,28,n,28,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
227697-2,Sarcocornia perennis (Mill.) A.J.Scott,18,n,NA,NA
30118747-2,Sarracenia flava L.,NA,NA,26,C-ValueDB
30030166-2,Sarracenia purpurea L.,NA,NA,NA,NA
420437-1,Sasa palmata (Burb.) E.G.Camus,NA,NA,NA,NA
420574-1,Sasa veitchii (Carrière) Rehder,NA,NA,NA,NA
420677-1,Sasaella ramosa (Makino) Makino,NA,NA,NA,NA
457736-1,Satureja montana L.,NA,NA,30,C-ValueDB
242074-1,Saussurea alpina (L.) DC.,52| 54,v,NA,NA
793159-1,Saxifraga aizoides L.,26,n,NA,NA
793400-1,Saxifraga cernua L.,NA,NA,NA,NA
228334-2,Saxifraga cespitosa L.,78,n,NA,NA
793511-1,Saxifraga cuneifolia L.,28,n,NA,NA
793519-1,Saxifraga cymbalaria L.,NA,NA,NA,NA
793749-1,Saxifraga granulata L.,c.32| 47-50,v,"22, 32, 44, 48, 52","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
228461-2,Saxifraga hirculus L.,NA,NA,NA,NA
793813-1,Saxifraga hirsuta L.,28,n,NA,NA
793841-1,Saxifraga hypnoides L.,26| 39| 52,v,NA,NA
30041728-2,Saxifraga oppositifolia L.,26,n,52,Šmarda et al. 2019
794228-1,Saxifraga paniculata Mill.,NA,NA,28,"C-ValueDB, Šmarda et al. 2019"
30062111-2,Saxifraga rivularis L.,NA,NA,NA,NA
794445-1,Saxifraga rosacea Moench,c.32| 50| 52| c.64,v,NA,NA
794454-1,Saxifraga rotundifolia L.,NA,NA,NA,NA
794553-1,Saxifraga spathularis Brot.,28,n,NA,NA
794584-1,Saxifraga stolonifera Curtis,NA,NA,NA,NA
794664-1,Saxifraga tridactylites L.,NA,NA,22,"Šmarda et al. 2019, Zonneveld, 2019"
794683-1,Saxifraga umbrosa L.,28,n,NA,NA
319717-1,Scabiosa atropurpurea L.,NA,NA,NA,NA
319793-1,Scabiosa columbaria L.,16,n,16,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
848035-1,Scandix pecten-veneris L.,NA,NA,16,"Zonneveld, 2019"
1190051-2,Schedonorus arundinaceus (Schreb.) Dumort.,42,p,NA,NA
1002646-1,Schedonorus giganteus (L.) Holub,42,n,NA,NA
1203520-2,Schedonorus pratensis (Huds.) P.Beauv.,14,s,NA,NA
603500-1,Scheuchzeria palustris L.,22,n,22,"C-ValueDB, Šmarda et al. 2019"
440895-1,Schizostylis coccinea Backh. & Harv. ex Hook.,NA,NA,NA,NA
1019162-1,Schoenoplectus lacustris (L.) Palla,NA,NA,42,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
1019167-1,Schoenoplectus pungens (Vahl) Palla,NA,NA,"74, 78","Šmarda et al. 2019, Zonneveld, 2019"
1019164-1,Schoenoplectus tabernaemontani (C.C.Gmel.) Palla,42,n,42,"Šmarda et al. 2019, Zonneveld, 2019"
1019165-1,Schoenoplectus triqueter (L.) Palla,NA,NA,"40, 42","Šmarda et al. 2019, Zonneveld, 2019"
330939-2,Schoenus ferrugineus L.,NA,NA,76,Šmarda et al. 2019
312959-1,Schoenus nigricans L.,44,p,"44, 54","Šmarda et al. 2019, Zonneveld, 2019"
540667-1,Scilla autumnalis L.,28| 42,v,"14, 28",C-ValueDB
540689-1,Scilla bifolia L.,NA,NA,"6, 18, 36, 54","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
540697-1,Scilla bithynica Boiss.,NA,NA,NA,NA
540792-1,Scilla forbesii (Baker) Speta,NA,NA,NA,NA
540884-1,Scilla liliohyacinthus L.,NA,NA,NA,NA
540894-1,Scilla luciliae (Boiss.) Speta,NA,NA,18,C-ValueDB
540915-1,Scilla messeniaca Boiss.,NA,NA,18,C-ValueDB
540971-1,Scilla peruviana L.,NA,NA,16,C-ValueDB
541023-1,Scilla sardensis (Whittall ex Barr) Speta,NA,NA,18,C-ValueDB
927545-1,Scilla siberica Haw.,NA,NA,"12, 18","C-ValueDB, Zonneveld, 2019"
541086-1,Scilla verna Huds.,20| 22,v,NA,NA
1214602-2,Scirpoides holoschoenus (L.) Soják,NA,NA,"42, 164, 168","Šmarda et al. 2019, Zonneveld, 2019"
314368-1,Scirpus sylvaticus L.,62,n,62,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
300494-2,Scleranthus annuus L.,44,n,44,Šmarda et al. 2019
302613-2,Scleranthus perennis L.,22,n,22,"Šmarda et al. 2019, Zonneveld, 2019"
243010-1,Scolymus hispanicus L.,NA,NA,20,C-ValueDB
518173-1,Scorpiurus muricatus L.,NA,NA,NA,NA
243208-1,Scorzonera hispanica L.,NA,NA,"14, 28","Šmarda et al. 2019, Zonneveld, 2019"
243218-1,Scorzonera humilis L.,14,n,14,Šmarda et al. 2019
243480-1,Scorzoneroides autumnalis (L.) Moench,12,n,NA,NA
809039-1,Scrophularia auriculata L.,c.40| 78| 80,v,"78, 80","Zonneveld, 2019"
30088899-2,Scrophularia nodosa L.,36,n,36,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
809430-1,Scrophularia peregrina L.,NA,NA,NA,NA
809501-1,Scrophularia scopolii Hoppe,NA,NA,NA,NA
809503-1,Scrophularia scorodonia L.,NA,NA,NA,NA
809581-1,Scrophularia umbrosa Dumort.,NA,NA,"26, 52","Šmarda et al. 2019, Zonneveld, 2019"
809598-1,Scrophularia vernalis L.,NA,NA,"28, 40","Šmarda et al. 2019, Zonneveld, 2019"
458118-1,Scutellaria altissima L.,NA,NA,34,"Zonneveld, 2019"
458280-1,Scutellaria galericulata L.,30| 32,v,"30, 32","Šmarda et al. 2019, Zonneveld, 2019"
458463-1,Scutellaria minor Huds.,c.32,n,NA,NA
421164-1,Secale cereale L.,14,n,14,Šmarda et al. 2019
946592-1,Securigera varia (L.) Lassen,NA,NA,24,"Šmarda et al. 2019, Zonneveld, 2019"
274996-1,Sedum acre L.,80,n,80,"Šmarda et al. 2019, Zonneveld, 2019"
275022-1,Sedum album L.,NA,NA,"34, 64","C-ValueDB, Šmarda et al. 2019"
275052-1,Sedum anglicum Huds.,120-130| 160,v,NA,NA
275301-1,Sedum dasyphyllum L.,NA,NA,NA,NA
275520-1,Sedum hispanicum L.,NA,NA,"28, 14-42","Šmarda et al. 2019, Zonneveld, 2019"
1009493-1,Sedum kimnachii V.V.Byalt,NA,NA,NA,NA
275653-1,Sedum lydium Boiss.,NA,NA,NA,NA
231837-2,Sedum praealtum A.DC.,NA,NA,NA,NA
276056-1,Sedum sexangulare L.,NA,NA,"72, 74, 108","Šmarda et al. 2019, Zonneveld, 2019"
284830-2,Sedum spathulifolium Hook.,NA,NA,NA,NA
284837-2,Sedum villosum L.,NA,NA,30,Šmarda et al. 2019
90781-3,Selaginella kraussiana (Kunze) A.Braun,NA,NA,"20, 40","C-ValueDB, Zonneveld, 2019"
60452842-2,Selaginella selaginoides (L.) P.Beauv.,18,n,18,Šmarda et al. 2019
848204-1,Selinum carvifolia (L.) L.,NA,NA,22,Šmarda et al. 2019
421233-1,Semiarundinaria fastuosa (Lat.-Marl. ex Mitford) Makino ex Nakai,NA,NA,NA,NA
276315-1,Sempervivum arachnoideum L.,NA,NA,"32, 48, 64","Zonneveld, 2019"
276682-1,Sempervivum tectorum L.,72,n,72,"Zonneveld, 2019"
244300-1,Senecio cambrensis Rosser,60,n,60,C-ValueDB
244900-1,Senecio doria L.,NA,NA,40,Šmarda et al. 2019
244906-1,Senecio doronicum (L.) L.,NA,NA,NA,NA
245303-1,Senecio glastifolius L.f.,NA,NA,NA,NA
245363-1,Senecio grandiflorus P.J.Bergius,NA,NA,NA,NA
245637-1,Senecio inaequidens DC.,NA,NA,40,"Zonneveld, 2019"
246358-1,Senecio minimus Poir.,NA,NA,NA,NA
246691-1,"Senecio ovatus (G.Gaertn., B.Mey. & Scherb.) Willd.",NA,NA,40,Šmarda et al. 2019
247117-1,Senecio pterophorus DC.,NA,NA,20,C-ValueDB
247457-1,Senecio sarracenicus L.,NA,NA,40,"Šmarda et al. 2019, Zonneveld, 2019"
247624-1,Senecio smithii DC.,NA,NA,NA,NA
247694-1,Senecio squalidus L.,20,n,20,"C-ValueDB, Zonneveld, 2019"
247845-1,Senecio sylvaticus L.,40,n,40,"Šmarda et al. 2019, Zonneveld, 2019"
248179-1,Senecio vernalis Waldst. & Kit.,NA,NA,"20, 40","C-ValueDB, Šmarda et al. 2019"
248231-1,Senecio viscosus L.,40,n,40,"Šmarda et al. 2019, Zonneveld, 2019"
248251-1,Senecio vulgaris L.,40,n,40,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
263741-1,Sequoia sempervirens (D.Don) Endl.,NA,NA,NA,NA
234727-2,Sequoiadendron giganteum (Lindl.) J.Buchholz,NA,NA,NA,NA
657644-1,Serapias lingua L.,NA,NA,NA,NA
657688-1,Serapias parviflora Parl.,NA,NA,NA,NA
248861-1,Serratula tinctoria L.,22,n,22,"Šmarda et al. 2019, Zonneveld, 2019"
848608-1,Seseli libanotis (L.) W.D.J.Koch,NA,NA,"18, 22","Zonneveld, 2019"
1005554-2,Sesleria caerulea (L.) Ard.,28,n,28,"C-ValueDB, Šmarda et al. 2019"
421428-1,Setaria adhaerens (Forssk.) Chiov.,NA,NA,NA,NA
421548-1,Setaria faberi Herrm.,NA,NA,36,"C-ValueDB, Zonneveld, 2019"
1207294-2,Setaria italica (L.) P.Beauv.,NA,NA,18,"Zonneveld, 2019"
943811-1,Setaria parviflora (Poir.) Kerguélen,NA,NA,36,C-ValueDB
421764-1,Setaria pumila (Poir.) Roem. & Schult.,NA,NA,"36, 54, 72","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
421857-1,Setaria verticillata (L.) P.Beauv.,NA,NA,"18, 36, 54","Šmarda et al. 2019, Zonneveld, 2019"
1171009-2,Setaria viridis (L.) P.Beauv.,NA,NA,"18, 36","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
766342-1,Sherardia arvensis L.,22,n,22,"Šmarda et al. 2019, Zonneveld, 2019"
741489-1,Sibbaldia procumbens L.,NA,NA,NA,NA
809676-1,Sibthorpia europaea L.,18,n,NA,NA
235838-2,Sida spinosa L.,NA,NA,NA,NA
564394-1,Sidalcea candida A.Gray,NA,NA,NA,NA
296019-2,Sidalcea malviflora (DC.) A.Gray ex Benth.,NA,NA,NA,NA
249087-1,Sigesbeckia serrata DC.,NA,NA,NA,NA
848813-1,Silaum silaus (L.) Schinz & Thell.,22,s,22,"Šmarda et al. 2019, Zonneveld, 2019"
60452326-2,Silene acaulis (L.) Jacq.,24,n,NA,NA
156771-1,Silene alpestris Jacq.,NA,NA,24,C-ValueDB
156849-1,Silene armeria L.,NA,NA,24,"Zonneveld, 2019"
156886-1,Silene baccifera (L.) Roth.,NA,NA,24,Šmarda et al. 2019
157041-1,Silene catholica (L.) W.T.Aiton,NA,NA,NA,NA
157059-1,Silene chalcedonica (L.) E.H.L.Krause,NA,NA,24,C-ValueDB
157107-1,Silene coeli-rosa (L.) Godr.,NA,NA,24,"Zonneveld, 2019"
157130-1,Silene conica L.,20| 24,v,"20, 24","Šmarda et al. 2019, Zonneveld, 2019"
60461121-2,Silene coronaria (L.) Clairv.,NA,NA,24,"Zonneveld, 2019"
157226-1,Silene dichotoma Ehrh.,NA,NA,"24, 48","Šmarda et al. 2019, Zonneveld, 2019"
157239-1,Silene dioica (L.) Clairv.,24,n,"24, 48","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
911444-1,Silene flos-cuculi (L.) Clairv.,24,n,24,"Zonneveld, 2019"
332106-2,Silene gallica L.,24,n,24,"Zonneveld, 2019"
157576-1,Silene italica (L.) Pers.,NA,NA,NA,NA
157647-1,Silene latifolia Poir.,24,n,24,Šmarda et al. 2019
157867-1,Silene multifida (Adams) Rohrb.,NA,NA,NA,NA
157877-1,Silene muscipula L.,NA,NA,NA,NA
304203-2,Silene noctiflora L.,24,n,24,"Šmarda et al. 2019, Zonneveld, 2019"
157927-1,Silene nutans L.,24,n,24,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
157978-1,Silene otites (L.) Wibel,24,s,24,"Šmarda et al. 2019, Zonneveld, 2019"
158042-1,Silene pendula L.,NA,NA,24,C-ValueDB
158320-1,Silene schafta S.G.Gmel. ex Hohen.,NA,NA,NA,NA
911449-1,Silene suecica (Lodd.) Greuter & Burdet,24,n,NA,NA
158590-1,Silene uniflora Roth,24,s,NA,NA
158652-1,Silene viscaria (L.) Jess.,NA,NA,NA,NA
158668-1,Silene vulgaris (Moench) Garcke,24,n,24,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
249211-1,Silybum marianum (L.) Gaertn.,NA,NA,34,"Zonneveld, 2019"
541162-1,Simethis mattiazzii (Vand.) Sacc.,NA,NA,NA,NA
249267-1,Sinacalia tangutica (Maxim.) B.Nord.,NA,NA,NA,NA
288952-1,Sinapis alba L.,NA,NA,24,"C-ValueDB, Zonneveld, 2019"
288960-1,Sinapis arvensis L.,18,n,18,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
848886-1,Sison amomum L.,14,n,NA,NA
848930-1,Sison segetum L.,NA,NA,NA,NA
289144-1,Sisymbrium altissimum L.,NA,NA,14,Šmarda et al. 2019
289337-1,Sisymbrium erysimoides Desf.,NA,NA,NA,NA
237940-2,Sisymbrium irio L.,NA,NA,"28, 14-56","C-ValueDB, Zonneveld, 2019"
237960-2,Sisymbrium loeselii L.,NA,NA,14,"Šmarda et al. 2019, Zonneveld, 2019"
289589-1,Sisymbrium officinale (L.) Scop.,NA,NA,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
289595-1,Sisymbrium orientale L.,NA,NA,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
289648-1,Sisymbrium polyceratium L.,NA,NA,NA,NA
324701-2,Sisymbrium strictissimum L.,NA,NA,"14, 28","Šmarda et al. 2019, Zonneveld, 2019"
289854-1,Sisymbrium volgense M.Bieb. ex E.Fourn.,NA,NA,14,"Zonneveld, 2019"
440950-1,Sisyrinchium bermudiana L.,64| 88| 96,v,"32, 64, 88, 96","C-ValueDB, Zonneveld, 2019"
440976-1,Sisyrinchium californicum (Ker Gawl.) W.T.Aiton,34,n,32,"C-ValueDB, Zonneveld, 2019"
330261-2,Sisyrinchium laxum Otto ex Sims,NA,NA,NA,NA
441187-1,Sisyrinchium montanum Greene,NA,NA,96,"C-ValueDB, Šmarda et al. 2019"
441299-1,Sisyrinchium striatum Sm.,NA,NA,18,C-ValueDB
849010-1,Sium latifolium L.,NA,NA,20,"Šmarda et al. 2019, Zonneveld, 2019"
849121-1,Smyrnium olusatrum L.,22,n,NA,NA
849123-1,Smyrnium perfoliatum L.,NA,NA,22,Šmarda et al. 2019
285195-2,Solanum carolinense L.,NA,NA,NA,NA
818670-1,Solanum chenopodioides Lam.,NA,NA,NA,NA
285213-2,Solanum dulcamara L.,24,n,24,"Šmarda et al. 2019, Zonneveld, 2019"
819717-1,Solanum laciniatum Aiton,NA,NA,92,C-ValueDB
