kew_id,taxon_name,cited_name,sporophytic_chromosome_number,notes,unambiguous_match,number_identical_observations,,,,,
295185-1,Betula pubescens Ehrh.,Betula pubescens Ehrh.,,42 (mode/tree),y,1,,,,,
295185-1,Betula pubescens Ehrh.,Betula pubescens Ehrh.,,56 (mode/tree),y,2,,,,,
295185-1,Betula pubescens Ehrh.,Betula pubescens Ehrh.,56,,y,4,,,,,
184796-1,Bidens cernua L.,Bidens cernua L.,24,,y,1,,,,,
185293-1,Bidens tripartita L.,Bidens tripartita L.,48,,y,1,,,,,
60430545-2,Bistorta officinalis Delarbre,Persicaria bistorta (L.) Samp.,48,,n,3,,,,,
366508-1,Blackstonia perfoliata (L.) Huds.,Blackstonia perfoliata (L.) Huds.,40,,y,5,,,,,
30079143-2,Blechnum spicant (L.) Roth,Blechnum spicant (L.) Roth,68,,y,5,,,,,
164515-1,Blitum bonus-henricus (L.) Rchb.,Chenopodium bonus-henricus L.,36,,n,1,,,,,
298083-1,Blysmus rufus (Huds.) Link,Blysmus rufus (Huds.) Link,80,,y,1,,,,,
30021929-2,Botrychium lunaria (L.) Sw.,Botrychium lunaria (L.) Sw.,90,,y,1,,,,,
393166-1,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum (L.) P.Beauv.,28,,y,4,,,,,
393196-1,Brachypodium sylvaticum (Huds.) P.Beauv.,Brachypodium sylvaticum (Huds.) P.Beauv.,18,,y,7,,,,,
393196-1,Brachypodium sylvaticum (Huds.) P.Beauv.,Brachypodium sylvaticum (Huds.) P.Beauv.,20,,y,1,,,,,
279419-1,Brassica napus L.,Brassica napus subsp. oleifera (DC.) Metzg.,38,,n,1,,,,,
279419-1,Brassica napus L.,Brassica napus var. napobrassica (L.) Rchb.,38,,n,2,,,,,
279419-1,Brassica napus L.,Brassica napus L. [cultivated],38,,y,3,,,,,
279422-1,Brassica nigra (L.) W.D.J.Koch,Brassica nigra (L.) W.D.J.Koch,16,,y,3,,,,,
279435-1,Brassica oleracea L.,Brassica oleracea L.,18,,y,5,,,,,
279435-1,Brassica oleracea L.,Brassica oleracea L. [cultivated],18,,y,9,,,,,
279485-1,Brassica rapa L.,Brassica campestris L.,20,,n,2,,,,,
393294-1,Briza media L.,Briza media L.,,14 +0-3/6s,y,1,,,,,
393294-1,Briza media L.,Briza media L.,14,,y,6,,,,,
393294-1,Briza media L.,Briza media L.,28,,y,1,,,,,
393410-1,Bromopsis benekenii (Lange) Holub,Bromus benekenii (Lange) Trimen,28,,n,1,,,,,
393463-1,Bromopsis ramosa (Huds.) Holub,Bromopsis ramosa (Huds.) Holub,42,,y,1,,,,,
393463-1,Bromopsis ramosa (Huds.) Holub,Bromus ramosus Huds.,42,,n,1,,,,,
30016331-2,Bromus hordeaceus L.,Bromus ferronii Mabille,28,,n,1,,,,,
30016331-2,Bromus hordeaceus L.,Bromus hordeaceus subsp. ferronii (Mabille) P.M.Sm.,28,,n,1,,,,,
30016331-2,Bromus hordeaceus L.,Bromus hordeaceus subsp. hordeaceus ,28,,n,5,,,,,
30016331-2,Bromus hordeaceus L.,Bromus hordeaceus subsp. thominei (Hardouin) Braun-Blanq.,28,,n,2,,,,,
393790-1,Bromus interruptus (Hack.) Druce,Bromus interruptus (Hack.) Druce,28,,y,2,,,,,
393828-1,Bromus lepidus Holmb.,Bromus lepidus Holmb.,28,,y,3,,,,,
394050-1,Bromus racemosus L.,Bromus racemosus L.,28,,y,1,,,,,
291584-1,Bryonia dioica Jacq.,Bryonia dioica Jacq.,20,,y,1,,,,,
113724-1,Buglossoides arvensis (L.) I.M.Johnst.,Lithospermum arvense L.,40,,n,1,,,,,
58290-1,Butomus umbellatus L.,Butomus umbellatus L.,,>36,y,1,,,,,
58290-1,Butomus umbellatus L.,Butomus umbellatus L.,,c.26,y,4,,,,,
58290-1,Butomus umbellatus L.,Butomus umbellatus L.,,c.27,y,1,,,,,
58290-1,Butomus umbellatus L.,Butomus umbellatus L.,,c.39,y,10,,,,,
58290-1,Butomus umbellatus L.,Butomus umbellatus L.,26,,y,10,,,,,
58290-1,Butomus umbellatus L.,Butomus umbellatus L.,39,,y,14,,,,,
58290-1,Butomus umbellatus L.,Butomus umbellatus 'Schneeweisschen' ,26,,n,1,,,,,
340317-1,Buxus sempervirens L.,Buxus sempervirens L.,28,,y,1,,,,,
30179231-2,Cakile maritima Scop.,Cakile maritima subsp. integrifolia (Hornem.) Hyl. ex Greuter & Burdet,18,,n,2,,,,,
77145450-1,Calamagrostis canescens (F.H.Wigg.) Roth,Calamagrostis canescens (F.H.Wigg.) Roth,,c.28,y,1,,,,,
394433-1,Calamagrostis epigejos (L.) Roth,Calamagrostis epigejos (L.) Roth,28,,y,1,,,,,
394764-1,Calamagrostis purpurea (Trin.) Trin.,Calamagrostis purpurea subsp. phragmitoides (Hartm.) Tzvelev,56,,n,2,,,,,
30241135-2,Calamagrostis stricta (Timm) Koeler,Calamagrostis stricta (Timm) Koeler,,c.28,y,1,,,,,
